Value,DifPrev1,DiffPrev2,DiffPrev3,DiffPrev4,DiffPrev5,DiffPrev6,DiffPrev7,DiffPrev8,DiffPrev9,DiffPrev10
318.1250,1.0006,0.9990,1.0038,1.0050,1.0054,1.0049,1.0053,1.0051,1.0052,1.0045
317.5950,0.9983,0.9990,0.9974,1.0022,1.0033,1.0037,1.0032,1.0036,1.0035,1.0036
317.8450,1.0008,0.9991,0.9997,0.9981,1.0030,1.0041,1.0045,1.0040,1.0044,1.0043
318.3950,1.0017,1.0025,1.0008,1.0015,0.9999,1.0047,1.0059,1.0063,1.0057,1.0061
318.7950,1.0013,1.0030,1.0038,1.0021,1.0027,1.0011,1.0060,1.0071,1.0075,1.0070
319.0620,1.0008,1.0021,1.0038,1.0046,1.0029,1.0036,1.0020,1.0068,1.0080,1.0084
318.3950,0.9979,0.9987,1.0000,1.0017,1.0025,1.0008,1.0015,0.9999,1.0047,1.0059
317.7620,0.9980,0.9959,0.9968,0.9980,0.9997,1.0005,0.9989,0.9995,0.9979,1.0027
317.6090,0.9995,0.9975,0.9954,0.9963,0.9975,0.9993,1.0000,0.9984,0.9990,0.9974
317.3960,0.9993,0.9988,0.9969,0.9948,0.9956,0.9969,0.9986,0.9994,0.9977,0.9983
317.2680,0.9996,0.9989,0.9984,0.9965,0.9944,0.9952,0.9965,0.9982,0.9990,0.9973
317.0690,0.9994,0.9990,0.9983,0.9978,0.9958,0.9938,0.9946,0.9958,0.9976,0.9983
317.1200,1.0002,0.9995,0.9991,0.9985,0.9980,0.9960,0.9939,0.9947,0.9960,0.9977
317.2890,1.0005,1.0007,1.0001,0.9997,0.9990,0.9985,0.9965,0.9944,0.9953,0.9965
317.2990,1.0000,1.0006,1.0007,1.0001,0.9997,0.9990,0.9985,0.9966,0.9945,0.9953
317.5090,1.0007,1.0007,1.0012,1.0014,1.0008,1.0004,0.9997,0.9992,0.9972,0.9951
317.3290,0.9994,1.0001,1.0001,1.0007,1.0008,1.0002,0.9998,0.9991,0.9986,0.9967
317.2480,0.9997,0.9992,0.9998,0.9999,1.0004,1.0006,0.9999,0.9995,0.9989,0.9984
317.4840,1.0007,1.0005,0.9999,1.0006,1.0006,1.0011,1.0013,1.0007,1.0003,0.9996
317.5950,1.0003,1.0011,1.0008,1.0003,1.0009,1.0010,1.0015,1.0017,1.0010,1.0006
318.0170,1.0013,1.0017,1.0024,1.0022,1.0016,1.0023,1.0023,1.0028,1.0030,1.0024
318.0950,1.0002,1.0016,1.0019,1.0027,1.0024,1.0018,1.0025,1.0025,1.0031,1.0032
317.7450,0.9989,0.9991,1.0005,1.0008,1.0016,1.0013,1.0007,1.0014,1.0014,1.0020
318.5860,1.0026,1.0015,1.0018,1.0031,1.0035,1.0042,1.0040,1.0034,1.0041,1.0041
318.5950,1.0000,1.0027,1.0016,1.0018,1.0031,1.0035,1.0042,1.0040,1.0034,1.0041
318.3470,0.9992,0.9992,1.0019,1.0008,1.0010,1.0024,1.0027,1.0035,1.0032,1.0026
318.7070,1.0011,1.0004,1.0004,1.0030,1.0019,1.0022,1.0035,1.0039,1.0046,1.0043
318.6350,0.9998,1.0009,1.0001,1.0002,1.0028,1.0017,1.0019,1.0033,1.0036,1.0044
318.2320,0.9987,0.9985,0.9996,0.9989,0.9989,1.0015,1.0004,1.0007,1.0020,1.0024
318.2190,1.0000,0.9987,0.9985,0.9996,0.9988,0.9988,1.0015,1.0004,1.0006,1.0020
318.5120,1.0009,1.0009,0.9996,0.9994,1.0005,0.9997,0.9998,1.0024,1.0013,1.0016
318.7050,1.0006,1.0015,1.0015,1.0002,1.0000,1.0011,1.0003,1.0004,1.0030,1.0019
318.2670,0.9986,0.9992,1.0002,1.0001,0.9988,0.9986,0.9997,0.9990,0.9990,1.0016
318.3320,1.0002,0.9988,0.9994,1.0004,1.0003,0.9990,0.9988,1.0000,0.9992,0.9992
318.0740,0.9992,0.9994,0.9980,0.9986,0.9995,0.9995,0.9982,0.9980,0.9991,0.9984
318.0350,0.9999,0.9991,0.9993,0.9979,0.9985,0.9994,0.9994,0.9981,0.9979,0.9990
318.1730,1.0004,1.0003,0.9995,0.9997,0.9983,0.9989,0.9999,0.9998,0.9986,0.9983
318.1550,0.9999,1.0004,1.0003,0.9994,0.9996,0.9983,0.9989,0.9998,0.9998,0.9985
318.1250,0.9999,0.9998,1.0003,1.0002,0.9993,0.9996,0.9982,0.9988,0.9997,0.9997
318.1280,1.0000,0.9999,0.9999,1.0003,1.0002,0.9994,0.9996,0.9982,0.9988,0.9997
318.1200,1.0000,1.0000,0.9999,0.9998,1.0003,1.0001,0.9993,0.9995,0.9982,0.9988
319.0050,1.0028,1.0028,1.0028,1.0027,1.0026,1.0030,1.0029,1.0021,1.0023,1.0009
319.2900,1.0009,1.0037,1.0037,1.0037,1.0036,1.0035,1.0039,1.0038,1.0030,1.0032
319.8430,1.0017,1.0026,1.0054,1.0054,1.0054,1.0053,1.0052,1.0057,1.0056,1.0047
319.7330,0.9997,1.0014,1.0023,1.0051,1.0050,1.0051,1.0050,1.0049,1.0053,1.0052
319.5620,0.9995,0.9991,1.0009,1.0017,1.0045,1.0045,1.0045,1.0044,1.0044,1.0048
319.9350,1.0012,1.0006,1.0003,1.0020,1.0029,1.0057,1.0057,1.0057,1.0056,1.0055
320.1650,1.0007,1.0019,1.0014,1.0010,1.0027,1.0036,1.0064,1.0064,1.0064,1.0063
311.7400,1.0008,1.0000,0.9999,1.0004,1.0007,1.0007,1.0007,1.0006,1.0009,1.0016
311.9970,1.0008,1.0017,1.0008,1.0007,1.0013,1.0015,1.0015,1.0015,1.0014,1.0017
312.0300,1.0001,1.0009,1.0018,1.0009,1.0008,1.0014,1.0016,1.0016,1.0016,1.0015
312.0070,0.9999,1.0000,1.0009,1.0017,1.0009,1.0008,1.0013,1.0015,1.0015,1.0015
311.9920,1.0000,0.9999,1.0000,1.0008,1.0016,1.0008,1.0007,1.0012,1.0015,1.0015
311.9580,0.9999,0.9998,0.9998,0.9999,1.0007,1.0015,1.0007,1.0006,1.0011,1.0014
325.9500,0.9993,0.9993,0.9992,0.9994,0.9996,0.9996,0.9997,1.0007,0.9998,1.0010
326.1900,1.0007,1.0000,1.0001,0.9999,1.0002,1.0003,1.0003,1.0005,1.0014,1.0006
326.4210,1.0007,1.0014,1.0007,1.0008,1.0006,1.0009,1.0010,1.0010,1.0012,1.0021
327.2000,1.0024,1.0031,1.0038,1.0031,1.0032,1.0030,1.0033,1.0034,1.0034,1.0036
326.7700,0.9987,1.0011,1.0018,1.0025,1.0018,1.0018,1.0017,1.0019,1.0021,1.0021
326.6200,0.9995,0.9982,1.0006,1.0013,1.0021,1.0013,1.0014,1.0012,1.0015,1.0017
326.6400,1.0001,0.9996,0.9983,1.0007,1.0014,1.0021,1.0014,1.0014,1.0013,1.0015
